Index,WS,GAP,MTX,cap_w,ETCH_DEPTH,L1,L2,W1,W2,n_m_COMSOL,Z0_COMSOL,Mode_Score,alpha_COMSOL,alpha_ML_unetched,alpha_ML_etched,delta_ML,baseline_gap
240,45.908,18.686,12.063,2.969,0.287,47.634,102.33,36.152,28.185,1.87172,44.6008,0.497353,1.56527,1.42371,3.56197,2.13826,0.141562
164,46.256,13.182,13.518,3.404,0.133,9.248,145.958,39.936,17.501,1.81584,37.1453,0.497684,1.9536,1.80934,4.96387,3.15453,0.144262
260,46.389,8.767,12.512,4.05,0.118,20.962,164.662,51.984,9.322,1.77239,31.5109,0.498018,2.61744,2.40895,7.14541,4.73646,0.208485
295,46.473,16.079,4.211,7.5,0.102,33.338,32.5,19.298,19.832,2.04682,47.2696,0.498093,1.82823,1.71462,1.63975,-0.0748667,0.113616
470,46.629,12.782,1.562,7.553,0.25,23.777,165.453,4.376,48.466,2.0673,47.7208,0.49817,2.10296,2.02695,3.78769,1.76074,0.0760162
257,46.648,18.633,5.867,10.202,0.328,33.307,101.862,17.005,18.988,1.97994,49.2073,0.49759,1.62513,1.50694,1.54832,0.0413745,0.118182
74,46.701,15.175,12.434,11.75,0.3,7.609,57.861,7.09,14.695,1.83859,40.5122,0.497429,1.77585,1.59464,1.59434,-0.000296294,0.18121
361,47.189,17.019,10.317,12.797,0.349,34.158,56.576,18.714,30.66,1.88426,44.0374,0.497348,1.662,1.50115,1.53915,0.0379975,0.160845
200,47.197,14.21,3.668,11.918,0.321,23.258,89.648,12.955,9.217,2.00745,46.7758,0.497807,1.9219,1.79197,1.76528,-0.0266889,0.129936
196,47.832,17.531,10.442,4.484,0.297,40.824,67.467,42.922,18.613,1.88988,44.2592,0.497378,1.632,1.48669,2.3547,0.86801,0.145313
101,48.007,18.635,4.944,6.328,0.197,22.827,12.463,23.291,17.896,2.02777,49.0142,0.497845,1.65777,1.54629,1.53072,-0.0155657,0.111481
279,48.039,9.548,10.266,8.138,0.241,27.236,98.034,23.396,39.884,1.81994,34.4197,0.497822,2.44038,2.18351,4.65373,2.47022,0.256867
270,48.175,15.842,12.503,12.111,0.271,4.227,23.428,9.766,31.745,1.85482,40.7438,0.497405,1.73025,1.59479,1.61898,0.0241971,0.135469
47,48.19,11.732,1.041,3.383,0.116,29.406,21.951,36.494,24.475,2.11416,46.1733,0.498497,2.2459,2.1607,2.7601,0.599403,0.0852005
381,48.284,19.398,12.942,9.527,0.221,44.596,92.418,13.374,48.271,1.88875,43.7085,0.497335,1.54099,1.43167,2.46278,1.03112,0.109325
500,48.311,13.828,7.046,3.884,0.276,17.277,135.735,24.461,21.95,1.91994,43.0134,0.497626,1.90306,1.74896,2.8531,1.10414,0.154105
463,48.436,13.987,8.756,5.923,0.339,48.047,110.415,37.54,12.646,1.87432,42.0304,0.49747,1.86371,1.69717,2.2167,0.519527,0.166533
255,48.501,15.165,10.654,8.266,0.281,33.139,48.828,4.069,44.839,1.87029,41.4498,0.497452,1.77847,1.6138,1.60479,-0.00901284,0.164671
252,48.549,12.507,4.798,8.88,0.194,46.486,47.433,37.214,6.824,1.99302,42.835,0.497932,2.06998,1.9096,1.78953,-0.120068,0.160377
358,48.642,8.067,1.223,6.196,0.312,20.487,112.023,21.029,15.754,2.03934,42.2342,0.498165,2.67708,2.529,2.54196,0.0129633,0.148083
156,48.79,6.14,8.639,3.774,0.282,23.295,84.669,45.865,4.477,1.769,30.1074,0.498066,3.33869,2.99646,3.36908,0.372615,0.342224
322,48.948,13.85,8.187,9.403,0.328,51.936,12.795,4.848,41.968,1.89484,42.0175,0.497506,1.88803,1.71698,1.66634,-0.0506312,0.171054
345,49.013,16.825,13.01,12.907,0.318,6.139,12.284,30.604,22.691,1.85028,41.4482,0.497285,1.65813,1.5271,1.64934,0.122244,0.131029
5,49.163,14.725,11.993,4.507,0.139,19.696,29.02,42.019,12.178,1.86807,39.3823,0.497583,1.82369,1.66176,1.72279,0.0610301,0.161933
457,49.191,19.595,1.876,2.93,0.291,4.844,122.473,8.519,25.838,2.08634,53.0817,0.498032,1.67871,1.6341,1.72048,0.08638,0.0446128
424,49.273,10.388,12.603,5.846,0.121,6.8,123.476,19.807,7.2,1.80725,33.4608,0.497837,2.31237,2.12906,2.40812,0.279064,0.183317
441,49.407,14.842,5.551,6.537,0.35,2.13,135.985,53.155,6.036,1.95063,45.5133,0.497557,1.82169,1.69706,5.73747,4.04041,0.124635
274,49.437,15.571,12.448,8.263,0.114,36.668,46.381,23.692,35.974,1.88018,39.7163,0.497566,1.77112,1.60883,1.87637,0.267542,0.162291
281,49.485,4.098,7.693,2.525,0.329,37.798,10.346,15.672,19.914,1.72715,26.2526,0.498258,4.54752,4.07309,3.24044,-0.83265,0.474431
191,49.614,15.424,3.967,13.201,0.255,31.522,156.326,28.081,28.349,2.03239,46.6195,0.497866,1.84208,1.72169,5.99628,4.27459,0.120387
35,49.695,15.664,1.55,2.295,0.305,23.036,174.078,3.015,44.572,2.06817,50.2294,0.498011,1.86654,1.82369,2.52972,0.706032,0.0428478
292,49.818,18.478,14.881,3.447,0.14,46.581,108.167,10.445,37.864,1.86447,41.1816,0.497358,1.57669,1.46828,1.52848,0.060206,0.108414
324,49.978,5.522,2.893,4.101,0.14,31.793,124.681,39.028,18.697,2.02069,33.8069,0.49844,3.56742,3.28031,8.45077,5.17046,0.287108
163,49.99,16.364,12.969,1.731,0.184,19.747,159.198,11.592,45.614,1.86137,40.5278,0.497428,1.69526,1.58041,3.27322,1.69281,0.114853
168,50.514,13.728,3.063,10.231,0.324,51.543,97.464,19.249,14.555,2.02062,46.2428,0.497819,1.95094,1.85094,1.74139,-0.109553,0.0999991
195,50.605,12.854,13.049,9.847,0.33,22.807,4.054,2.143,10.794,1.79928,36.9667,0.497428,1.95031,1.79012,1.82147,0.0313554,0.160197
333,50.619,10.374,6.515,8.844,0.125,24.314,171.337,4.564,15.524,1.95487,37.6854,0.497985,2.34184,2.13547,1.70208,-0.433387,0.206377
254,50.66,15.36,3.217,6.722,0.171,42.715,149.213,4.252,45.103,2.05886,46.9134,0.498055,1.85944,1.78149,2.57037,0.788877,0.077943
263,50.828,18.084,12.227,9.003,0.253,24.287,132.236,36.011,6,1.88647,42.626,0.497307,1.59852,1.45469,1.94025,0.485558,0.143829
116,50.938,19.865,7.489,2.517,0.357,21.042,24.797,39.303,6.06,1.95611,48.1002,0.497346,1.53863,1.41969,1.39546,-0.0242241,0.118941
487,50.995,19.998,7.615,4.543,0.124,32.093,150.122,25.281,37.141,2.00253,46.9215,0.497682,1.5655,1.45824,6.82254,5.3643,0.107265
210,51.029,15.336,1.919,7.975,0.144,47.782,101.68,28.26,33.12,2.10481,47.9904,0.49829,1.90578,1.86563,6.78308,4.91745,0.0401459
44,51.207,17.498,10.706,7.387,0.281,48.998,119.834,10.602,41.815,1.89884,43.1927,0.49733,1.63119,1.4884,1.85752,0.369123,0.14279
111,51.428,10.031,5.756,1.539,0.15,18.903,32.84,10.721,2.963,1.94119,38.3994,0.497948,2.34932,2.18853,2.23821,0.0496866,0.160799
167,51.566,5.658,3.935,3.239,0.3,46.596,124.17,5.874,58.488,1.90365,33.8506,0.498065,3.40165,3.10259,6.13636,3.03377,0.299065
205,51.571,6.724,10.12,4.014,0.266,2.983,183.395,30.062,31.682,1.75663,29.6486,0.497985,3.11528,2.80408,10.3643,7.56022,0.311196
250,51.705,13.333,10.542,10.499,0.252,17.037,58.25,40.181,21.956,1.87119,38.6513,0.497519,1.93544,1.74738,2.84771,1.10033,0.188063
183,51.869,15.876,3.799,4.221,0.333,53.866,20.43,38.09,7.292,2.00755,47.5304,0.497675,1.77813,1.68399,1.5598,-0.124191,0.094144
135,51.905,15.727,6.672,2.223,0.143,54.436,136.585,10.196,27.033,1.98268,43.8459,0.497747,1.78364,1.66359,1.57461,-0.0889766,0.120049
316,52.148,7.077,12.801,4.061,0.255,48.897,175.385,46.367,15.436,1.71226,28.2715,0.497976,3.00263,2.7518,6.77707,4.02527,0.250824
152,52.335,4.682,9.251,3.509,0.265,33.09,114.988,4.14,12.56,1.73982,25.6263,0.49823,4.18423,3.72689,2.67427,-1.05262,0.457342
63,52.483,15.948,9.868,3.998,0.111,6.845,178.491,60.143,2.732,1.93085,41.3704,0.497599,1.75236,1.60887,5.92356,4.31469,0.143484
319,52.75,8.502,11.073,4.389,0.272,47.523,36.384,53.361,5.332,1.77132,31.9826,0.497782,2.60473,2.34795,2.20333,-0.144623,0.25678
139,52.767,15.17,3.949,11.237,0.273,8.26,91.57,13.085,50.491,2.02674,45.8942,0.497794,1.83887,1.73159,5.7049,3.97331,0.107283
242,52.928,10.376,6.742,5.437,0.262,11.151,160.193,13.748,30.451,1.90301,38.114,0.497724,2.26808,2.08348,2.76862,0.685131,0.184596
151,53.048,19.755,14.027,14.572,0.21,9.787,118.348,34.546,25.4,1.89412,42.2548,0.49722,1.52567,1.41606,3.65298,2.23692,0.109613
228,53.055,19.401,3.889,10.906,0.349,29.89,91.48,29.833,13.734,2.03606,50.0446,0.497637,1.61142,1.52591,1.89076,0.36485,0.0855082
465,53.217,19.166,8.791,9.126,0.281,24.508,167.889,33.672,15.541,1.95263,45.5416,0.497359,1.56933,1.44417,3.17799,1.73382,0.125154
6,53.245,9.953,6.409,8.417,0.137,55.574,103.078,34.833,21.373,1.95395,36.8567,0.497958,2.39224,2.18755,3.36292,1.17537,0.204689
478,53.25,12.746,3.423,7.025,0.27,40.247,12.203,31.994,2.408,2.01542,44.0475,0.497853,2.01967,1.92153,1.7393,-0.182236,0.0981335
67,53.288,18.654,5.93,6.272,0.227,16.556,21.471,26.957,29.383,2.01107,47.0616,0.497645,1.62538,1.52671,1.65399,0.127278,0.0986654
364,53.418,13.09,2.9,6.371,0.239,58.747,108.148,9.057,45.348,2.03992,44.7724,0.497958,2.00544,1.93028,2.98953,1.05925,0.0751687
343,53.617,10.332,7.694,6.631,0.228,57.461,82.534,4.547,45.729,1.89431,36.8549,0.497738,2.2913,2.09073,1.94584,-0.144882,0.200579
77,53.793,14.151,6.813,11.79,0.142,18.736,178.059,11.309,45.25,1.98668,41.4151,0.497783,1.90878,1.76217,4.46058,2.69841,0.146608
145,53.807,10.561,10.946,7.803,0.111,31.269,135.584,19.452,40.792,1.8594,34.0546,0.497792,2.29066,2.06964,4.64211,2.57247,0.221022
57,53.846,12.042,12.916,9.929,0.286,4.522,181.4,6.471,6.427,1.80927,35.332,0.497475,2.04796,1.88242,2.04832,0.165895,0.165532
276,53.929,17.27,9.518,9.087,0.234,52.341,186.813,18.506,9.26,1.93426,43.0087,0.497407,1.66091,1.52542,1.53215,0.00672908,0.135487
204,54.109,14.033,13.807,11.168,0.235,20.263,76.317,50.644,13.795,1.83316,36.8301,0.4974,1.85944,1.71644,3.15153,1.43508,0.142996
395,54.233,12.058,9.083,2.745,0.224,6.875,176.091,34.091,8.947,1.87886,38.0187,0.497591,2.05624,1.88253,3.29536,1.41283,0.173718
433,54.449,11.777,10.952,4.72,0.211,29.783,18.264,17.213,31.982,1.84534,36.1547,0.497581,2.09012,1.89913,1.76936,-0.129778,0.190987
443,54.538,8.22,6.125,2.86,0.297,20.886,67.28,6.477,29.128,1.87285,35.7023,0.497777,2.62546,2.41747,2.05452,-0.362949,0.207993
317,54.926,17.823,12.515,7.828,0.234,26.29,126.175,15.211,15.906,1.89055,41.3965,0.497254,1.61401,1.50991,1.4331,-0.0768135,0.104095
4,54.965,14.93,14.029,1.609,0.301,39.965,145.169,17.804,8.633,1.81495,38.1042,0.497244,1.76238,1.63955,1.60865,-0.0309027,0.122827
192,54.966,18.61,11.354,4.624,0.171,30.775,41.355,4.639,52.172,1.92548,42.6011,0.497354,1.58989,1.46416,1.61292,0.148764,0.125738
201,55.134,4.334,3.349,1.61,0.158,24.987,41.528,32.862,26.255,1.96968,30.2957,0.498369,4.2112,3.83349,4.45452,0.621027,0.377708
432,55.157,8.517,12.114,3.41,0.245,44.235,67.251,8.24,3.994,1.75971,30.9227,0.49777,2.60413,2.36209,2.22754,-0.134546,0.242039
359,55.21,18.505,5.397,13.237,0.212,20.458,118.916,28.787,12.275,2.03582,46.685,0.497718,1.64679,1.55053,2.07295,0.522418,0.0962529
10,55.355,10.542,7.687,8.561,0.347,11.999,11.604,6.785,16.938,1.87587,37.3749,0.497538,2.22865,2.02433,2.01868,-0.00565634,0.204316
341,55.397,11.99,2.633,1.434,0.218,46.104,116.192,54.534,8.549,2.03983,43.5593,0.498,2.09837,2.02137,9.10042,7.07905,0.0769934
89,55.656,13.035,8.911,3.423,0.194,32.198,30.376,13.87,17.112,1.90551,38.8788,0.497577,1.96184,1.80926,1.64794,-0.161322,0.152577
72,55.674,11.492,2.972,5.495,0.194,7.535,16.78,7.856,19.114,2.04058,42.2763,0.498035,2.15928,2.05327,2.06324,0.00996405,0.106011
375,56.027,9.519,2.49,4.321,0.345,29.585,135.143,42.315,20.825,1.99069,41.4576,0.497811,2.35379,2.22964,12.3523,10.1227,0.124146
328,56.053,14.97,9.704,3.859,0.138,55.057,141.835,31.939,15.648,1.9252,40.0199,0.497548,1.8112,1.67686,2.22554,0.548679,0.134337
105,56.149,7.581,12.967,3.519,0.239,39.833,94.778,45.379,13.569,1.72903,28.6552,0.497866,2.84521,2.62917,3.34663,0.71746,0.216039
485,56.156,14.837,7.088,9.975,0.217,28.685,15.084,20.975,32.348,1.96892,41.9463,0.497597,1.83143,1.69685,1.65165,-0.0452026,0.134579
45,56.266,8.932,5.364,2.199,0.24,2.786,95.688,6.814,45.678,1.9232,36.9456,0.497824,2.48963,2.31562,2.99238,0.676763,0.174019
476,56.277,19.041,11.187,12.374,0.201,41.632,185.317,13.956,38.418,1.93633,42.8065,0.497305,1.57167,1.45569,2.48239,1.02671,0.115978
142,56.296,14.295,7.654,10.338,0.131,33.893,55.277,53.673,3.687,1.97204,40.5136,0.497705,1.88713,1.74745,2.16341,0.415965,0.139685
39,56.327,18.732,12.24,7.109,0.312,9.439,130.998,17.512,38.075,1.89104,42.4767,0.497109,1.55937,1.43879,2.76943,1.33064,0.120585
397,56.365,13.964,1.006,9.639,0.314,52.117,61.874,27.598,17.534,2.09527,47.5107,0.498067,1.97977,1.86277,1.75558,-0.107191,0.117002
188,57.003,16.591,14.745,8.803,0.24,34.877,91.583,11.923,39.398,1.84812,38.6118,0.497197,1.66714,1.56219,1.61957,0.0573783,0.104947
80,57.053,9.762,14.552,3.471,0.111,27.073,85.654,18.8,17.192,1.77385,30.5027,0.497761,2.39116,2.22954,1.96286,-0.266681,0.161622
148,57.28,12.003,10.703,6.42,0.214,44.148,96.23,16.913,23.4,1.86157,36.1507,0.497532,2.06162,1.90387,1.66102,-0.242849,0.157755
126,57.287,18.759,11.854,3.707,0.247,31.815,154.301,4.229,60.632,1.90901,42.3434,0.497192,1.56597,1.46361,3.43982,1.97621,0.102364
411,57.615,16.578,5.616,7.508,0.18,36.442,172.815,15.434,4.771,2.02078,44.3949,0.497719,1.734,1.63048,1.7907,0.160213,0.103513
225,57.715,8.384,9.131,2.66,0.111,45.655,119.204,30.583,8.312,1.85777,31.9978,0.497904,2.67248,2.46311,2.32709,-0.136019,0.209367
314,57.762,18.242,12.293,11.478,0.174,19.752,55.389,42.414,10.122,1.9184,41.1038,0.497287,1.60312,1.49686,1.64926,0.152401,0.106261
414,58.134,16.067,9.899,12.399,0.335,28.292,105.205,48.033,14.042,1.90866,41.2397,0.497218,1.71275,1.57796,3.68929,2.11133,0.13479
