Index,WS,GAP,MTX,cap_w,ETCH_DEPTH,L1,L2,W1,W2,n_m_COMSOL,Z0_COMSOL,Mode_Score,alpha_COMSOL,alpha_ML_unetched,alpha_ML_etched,delta_ML,baseline_gap
466,61.708,11.001,3.51,3.085,0.157,51.215,151.708,4.564,47.309,2.0338,40.0446,0.497992,2.19608,2.05452,2.6349,0.580384,0.141564
132,61.774,18.913,6.111,4.068,0.215,3.742,77.894,10.095,11.322,2.02461,45.4074,0.49755,1.60467,1.51905,1.50024,-0.0188085,0.0856273
336,61.851,15.991,2.703,14.785,0.13,22.076,84.304,24.477,4.543,2.12063,45.0107,0.498203,1.82789,1.72433,1.61694,-0.107391,0.103566
50,61.857,8.617,3.926,2.18,0.187,23.786,166.556,54.992,6.073,1.9878,36.8415,0.497958,2.53966,2.35491,10.645,8.29013,0.184751
499,62.312,18.546,10.085,13.62,0.341,49.107,38.136,24.586,21.246,1.93569,42.6513,0.497073,1.58535,1.4742,1.26957,-0.204622,0.111158
329,62.333,15.646,13.842,11.603,0.184,36.354,136.505,13.965,21.879,1.87579,37.173,0.497251,1.74569,1.64647,1.44956,-0.196914,0.0992142
20,62.487,11.46,9.8,5.359,0.122,24.801,107.835,8.128,20.642,1.89938,35.1008,0.497631,2.14335,1.98984,1.66304,-0.3268,0.153508
427,62.687,9.046,8.834,2.924,0.31,53.083,165.949,20.648,38.64,1.83144,33.621,0.497538,2.44717,2.25234,3.93831,1.68597,0.194834
185,62.711,18.091,6.863,8.869,0.301,57.689,128.273,36.877,23.109,1.99177,44.3503,0.497336,1.6268,1.52504,3.73062,2.20558,0.101761
261,62.938,18.387,11.941,7.154,0.357,34.02,112.256,31.741,26.497,1.8956,41.502,0.496951,1.57387,1.46219,2.5827,1.12051,0.11168
495,63.008,8.175,2.123,4.252,0.144,6.62,114.067,7.274,9.817,2.07185,37.6498,0.498274,2.63632,2.45117,2.05719,-0.393979,0.185147
391,63.04,6.383,7.052,3.039,0.276,49.218,15.479,27.012,32.196,1.8391,30.5362,0.497831,3.16161,2.87497,2.41427,-0.460706,0.286635
28,63.219,14.69,7.311,12.547,0.244,14.315,4.947,21.033,28.464,1.97575,40.4711,0.497476,1.83478,1.69467,1.79081,0.0961368,0.140112
346,63.271,18.606,11.304,2.032,0.237,24.045,140.845,50.115,10.577,1.92769,41.5756,0.497141,1.57929,1.47867,4.17801,2.69934,0.100619
16,63.305,13.297,6.04,7.584,0.279,48.499,111.204,18.981,5.212,1.97064,40.4666,0.497507,1.92892,1.79538,1.72487,-0.0705134,0.133535
221,63.322,19.791,14.451,2.288,0.155,55.07,184.644,11.558,53.173,1.90653,40.4295,0.497088,1.52579,1.44808,3.33978,1.8917,0.0777117
403,63.592,5.053,10.779,3.152,0.283,4.649,87.154,2.026,25.906,1.71652,24.7213,0.498018,3.88527,3.51187,2.44017,-1.0717,0.3734
442,63.612,19.667,4.154,13.239,0.356,27.322,152.338,10.485,4.27,2.05099,47.6809,0.497484,1.58852,1.49222,1.6186,0.126375,0.0962945
128,63.834,18.804,2.749,9.35,0.236,6.292,10.46,21.264,32.415,2.09996,47.6699,0.497919,1.65995,1.58429,1.61243,0.0281452,0.0756627
429,63.855,19.167,7.825,8.303,0.257,21.987,5.603,50.508,10.776,1.99271,44.1447,0.497313,1.57817,1.48149,1.50983,0.0283399,0.0966788
267,63.862,17.577,11.143,4.672,0.164,34.317,105.63,7.037,10.561,1.93602,40.4012,0.497272,1.64152,1.53789,1.448,-0.08989,0.10363
327,63.925,11.422,9.924,1.443,0.275,43.109,176.37,15.816,36.144,1.85656,35.6143,0.497392,2.09769,1.94207,2.5991,0.657022,0.155618
286,63.933,13.713,8.837,11.022,0.24,37.503,35.81,23.316,11.906,1.93409,38.3537,0.49741,1.9021,1.75562,1.53805,-0.217566,0.146484
310,64.04,16.631,2.647,4.26,0.142,46.29,89.793,25.243,10.57,2.10569,45.6906,0.498097,1.7696,1.69075,1.53553,-0.155216,0.0788506
367,64.125,14.899,2.686,9.134,0.203,43.202,113.309,18.456,19.519,2.08769,44.3408,0.49799,1.8635,1.76824,1.66955,-0.0986876,0.095258
438,64.285,7.728,5.361,5.131,0.142,14.741,88.903,36.995,13.116,1.96403,33.3396,0.497987,2.78858,2.568,3.38279,0.814787,0.220584
477,64.302,19.476,2.927,11.195,0.305,39.867,88.032,8.329,50.169,2.0869,48.2317,0.497747,1.62293,1.54324,3.03264,1.4894,0.079696
448,64.328,9.878,3.416,7.936,0.282,14.187,35.263,48.811,11.346,2.01384,38.7836,0.497816,2.31523,2.14085,2.96518,0.824331,0.174378
14,64.492,18.798,6.266,12.408,0.18,22.372,59.917,49.441,4.689,2.03942,44.404,0.497593,1.61873,1.52597,1.94492,0.418945,0.0927613
497,64.667,18.422,1.917,14.079,0.194,21.852,123.783,6.217,36.801,2.13576,47.6383,0.498178,1.70938,1.6323,1.92376,0.291458,0.077075
68,64.759,10.97,6.331,1.643,0.155,59.107,147.426,8.501,10.258,1.95916,37.1138,0.497724,2.18556,2.03695,1.68258,-0.354367,0.148608
178,64.902,16.447,4.071,11.699,0.205,54.774,27.91,26.039,34.454,2.06679,44.2322,0.497801,1.75158,1.64805,1.86742,0.219363,0.103523
106,65.091,11.177,6.003,3.235,0.194,35.151,34.881,4.728,32.207,1.96379,37.7092,0.497681,2.14898,2.01071,1.76597,-0.244744,0.138264
356,65.342,19.71,1.882,3.196,0.284,17.101,33.746,9.075,20.85,2.11384,49.1771,0.497941,1.63935,1.57103,1.4155,-0.155532,0.0683136
337,65.487,19.841,7.444,6.785,0.106,51.705,128.12,33.342,4.296,2.03329,44.0539,0.497572,1.5685,1.48815,1.65423,0.166078,0.0803519
447,65.695,7.216,5.162,4.346,0.323,13.618,3.656,12.143,47.274,1.90361,33.6618,0.497703,2.82438,2.59203,2.91837,0.326343,0.232347
34,65.778,12.656,1.521,8.58,0.317,30.588,36.57,3.753,37.42,2.08149,43.8679,0.497915,2.02489,1.9093,1.78859,-0.120715,0.115594
382,65.82,13.704,6.346,11.446,0.183,45.465,54.297,6.796,57.448,2.00312,39.6162,0.497646,1.92046,1.7858,2.88141,1.09562,0.134664
449,65.843,14.236,10.284,1.492,0.249,58.592,8.498,12.747,22.367,1.89796,38.0268,0.497261,1.83379,1.70783,1.59564,-0.112194,0.125964
253,65.907,12.62,12.934,7.826,0.114,22.899,188.609,59.252,3.595,1.86758,33.9842,0.497457,2.00757,1.88355,5.66518,3.78164,0.124025
377,66.372,16.349,14.87,14.702,0.247,44.015,112.594,26.34,11.76,1.86989,36.8939,0.497065,1.69541,1.5872,1.45685,-0.13035,0.108208
99,66.514,4.152,4.271,2.968,0.252,24.39,116.686,36.924,16.692,1.92231,27.9416,0.498113,4.32559,3.80063,5.56944,1.76881,0.524956
239,66.816,19.316,6.798,14.082,0.236,54.478,127.675,29.501,12.703,2.02749,44.2524,0.497425,1.58719,1.4945,1.63184,0.137341,0.0926864
182,66.821,12.75,3.569,9.444,0.278,11.183,132.028,5.019,20.043,2.03733,41.4106,0.497726,1.99156,1.86117,1.57354,-0.287625,0.130393
417,66.897,10.223,14.927,3.315,0.327,48.401,6.502,7.003,51.14,1.74431,30.8582,0.497344,2.24275,2.08746,2.08247,-0.00499816,0.155286
12,66.986,13.381,6.55,2.442,0.232,35.765,146.96,5.399,23.265,1.96834,39.5667,0.497493,1.91672,1.79498,1.40279,-0.392185,0.121748
144,67.039,4.219,1.554,2.784,0.306,52.699,154.95,33.734,11.096,2.02561,32.2406,0.498162,3.88187,3.45715,3.84189,0.384741,0.424719
392,67.231,18.743,2.377,10.745,0.335,29.34,6.802,20.421,16.68,2.09248,47.8235,0.497735,1.65635,1.5811,1.53344,-0.0476698,0.0752486
407,67.271,19.617,8.422,7.009,0.289,21.017,77.064,51.518,8.69,1.98398,43.715,0.497166,1.55317,1.45968,2.44983,0.990147,0.0934829
419,67.294,16.772,5.942,10.61,0.238,59.325,66.727,3.923,48.45,2.02207,42.8566,0.497504,1.70535,1.60574,1.66465,0.0589123,0.099616
103,67.31,9.588,7.237,5.043,0.129,34.786,52.134,7.126,8.75,1.93854,34.105,0.49777,2.40208,2.21919,2.09222,-0.12697,0.182895
312,67.795,14.158,8.648,5.929,0.107,31.397,41.178,2.82,14.465,1.96486,38.0933,0.49754,1.87528,1.75264,1.72935,-0.0232867,0.122636
56,67.952,16.375,13.032,14.193,0.135,39.392,31.075,18.551,22.647,1.9185,37.3545,0.497244,1.71681,1.61754,1.39798,-0.219568,0.0992604
134,67.983,14.355,7.425,12.646,0.159,58.257,152.095,5.987,10.626,1.99599,39.0248,0.497573,1.87054,1.73583,1.48243,-0.253403,0.134715
413,68.406,11.914,4.552,3.465,0.285,36.45,50.86,57.729,3.691,1.99062,39.7683,0.497574,2.04489,1.90673,2.74131,0.834581,0.138159
266,68.454,11.84,9.384,2.868,0.293,13.39,173.883,31.366,24.91,1.87857,35.9842,0.497302,2.04783,1.89456,5.25065,3.35609,0.153273
293,68.838,19.105,11.116,14.628,0.234,44.951,63.786,45.372,4.915,1.95595,41.0441,0.497096,1.57499,1.4722,1.40043,-0.0717728,0.102792
174,69.015,9.692,3.258,8.267,0.138,43.229,60.515,32.268,14.983,2.06682,37.2689,0.498109,2.37903,2.21143,2.36904,0.157607,0.167596
26,69.129,8.14,3.393,3.355,0.264,15.264,56.18,6.67,39.046,1.99073,36.2008,0.497825,2.58387,2.39302,2.32866,-0.0643626,0.190841
91,69.161,19.262,6.453,10.786,0.291,43.412,155.163,21.041,26.282,2.02202,44.4224,0.497317,1.58401,1.49413,2.15581,0.661683,0.089883
8,69.166,13.687,5.136,8.388,0.307,51.61,7.26,21.43,23.97,1.99841,40.8578,0.497461,1.89215,1.77762,1.6356,-0.142017,0.114534
492,69.259,11.32,11.499,5.388,0.339,56.047,78.926,29.904,32.295,1.8259,34.0249,0.497218,2.10277,1.93079,2.35572,0.424924,0.171978
273,69.321,16.473,7.937,9.551,0.118,36.479,88.207,8.234,49.286,2.00464,40.4438,0.49752,1.72604,1.62328,2.29883,0.675552,0.102758
62,69.423,17.122,5.213,14.778,0.174,32.341,91.182,44.286,9.845,2.06397,42.9099,0.497709,1.71084,1.61661,2.54617,0.929561,0.0942341
170,69.499,8.953,13.554,2.164,0.26,12.235,132.779,28.979,25.271,1.75938,29.4688,0.497499,2.48412,2.31539,3.53296,1.21758,0.16873
211,69.575,10.195,6.79,8.841,0.158,15.957,189.456,34.008,9.48,1.96765,34.8538,0.497731,2.31291,2.12373,3.71024,1.58651,0.189181
226,69.824,6.575,10.097,4.57,0.306,52.664,117.199,51.549,2.713,1.77689,27.8923,0.497697,3.12175,2.82433,3.04764,0.223309,0.297416
320,69.96,10.221,4.629,3.749,0.135,16.721,134.239,17.893,23.778,2.01262,36.8572,0.49788,2.28284,2.12097,2.55146,0.430485,0.161869
287,70.034,15.4,3.034,5.425,0.332,49.028,150.608,29.559,4.519,2.05341,44.2816,0.497593,1.79191,1.70558,2.05114,0.345552,0.086324
494,70.086,15.007,8.901,1.607,0.16,13.502,42.35,36.108,9.137,1.95657,38.7577,0.497386,1.80124,1.6866,1.7154,0.0288015,0.114636
90,70.143,17.236,1.369,2.019,0.305,44.609,134.508,34.018,22.547,2.11417,47.1785,0.497931,1.74731,1.67987,5.58312,3.90324,0.0674364
153,70.156,16.516,3.727,3.433,0.311,44.994,121.81,52.273,6.544,2.0486,44.4821,0.497544,1.72387,1.63711,4.27152,2.6344,0.086754
122,70.329,14.947,3.583,5.265,0.259,12.763,106.535,9.927,35.566,2.05388,42.989,0.497685,1.82384,1.72986,2.07183,0.341973,0.093975
42,70.383,13.353,10.893,5.508,0.289,8.134,83.781,12.223,51.989,1.87919,36.2976,0.49717,1.90307,1.76115,3.37479,1.61364,0.141914
373,70.488,15.995,10.107,8.882,0.24,11.617,116.608,2.991,56.455,1.93808,38.9982,0.497182,1.72808,1.6103,2.51943,0.909134,0.117777
475,70.508,19.862,14.434,11.008,0.246,45.589,179.761,2.897,4.929,1.90967,39.763,0.496873,1.52545,1.45048,1.51673,0.0662489,0.0749746
61,70.706,12.321,3.011,10.6,0.14,25.485,27.389,14.753,39.348,2.09427,40.1472,0.498092,2.06371,1.94955,2.11858,0.16903,0.114159
355,70.962,18.598,3.894,12.214,0.295,51.466,49.56,16.806,11.833,2.07252,45.5302,0.497588,1.63892,1.55456,1.40927,-0.145292,0.0843541
393,70.965,10.353,6.17,2.212,0.214,58.907,137.023,30.835,6.752,1.95078,36.0501,0.497603,2.24371,2.08987,2.01633,-0.0735329,0.153842
233,71.726,13.695,14.891,5.754,0.118,32.307,7.789,52.629,4.048,1.85375,33.5837,0.497267,1.89534,1.78698,1.57357,-0.213404,0.108361
271,71.89,17.229,10.002,6.933,0.329,39.232,78.595,19.23,30.592,1.93441,40.3723,0.496985,1.64723,1.53949,1.49576,-0.0437358,0.107736
379,72.088,14.964,7.993,5.673,0.24,45.272,62.848,10.168,44.655,1.96464,39.3267,0.497304,1.79413,1.68277,1.71191,0.0291388,0.11136
19,72.642,11.737,13.566,4.972,0.234,13.517,3.971,45.368,14.134,1.82477,32.5352,0.497258,2.07095,1.94171,1.96307,0.0213609,0.129235
138,72.846,15.134,12.132,7.279,0.216,2.794,37.202,13.478,21.011,1.90059,36.6953,0.49713,1.77737,1.65777,1.62245,-0.0353193,0.119605
459,73.057,17.724,10.264,12.743,0.147,24.15,113.346,26.784,4.435,1.97699,39.6168,0.49726,1.64968,1.5502,1.72475,0.174549,0.099474
289,73.108,14.729,10.795,11.969,0.229,16.552,56.781,21.955,12.523,1.9253,36.946,0.497197,1.81679,1.68489,1.76209,0.0772039,0.131901
212,73.154,19.159,10.599,11.502,0.344,20.478,187.406,29.393,6.007,1.94614,41.3699,0.496874,1.56031,1.46345,1.89852,0.43507,0.0968686
27,73.204,13.496,10.95,2.734,0.252,26.376,55.042,52.621,2.139,1.8883,36.0238,0.497175,1.89456,1.76265,1.88826,0.125604,0.131907
425,73.241,9.153,6.032,2.959,0.27,55.334,72.13,32.262,16.908,1.92782,34.6987,0.497551,2.40984,2.23599,1.97462,-0.261366,0.173857
198,73.792,9.185,5.501,1.632,0.354,50.636,180.318,46.859,9.045,1.91468,35.6715,0.497404,2.36546,2.20391,5.2061,3.00218,0.161543
352,74.823,15.411,13.299,7.512,0.11,35.949,56.183,17.657,34.284,1.90701,35.7286,0.497201,1.77247,1.68634,1.52784,-0.158509,0.0861266
473,74.834,14.793,4.029,9.466,0.279,6.069,24.183,43.403,11.195,2.04913,41.8251,0.497581,1.82561,1.7276,2.05384,0.326234,0.0980088
93,75.167,6.486,12.843,2.751,0.179,7.016,86.122,33.17,10.286,1.74925,25.2278,0.497796,3.21756,2.97756,3.0826,0.105036,0.239999
418,75.276,16.829,12.895,1.805,0.22,45.944,11.822,40.749,19.273,1.90535,37.6323,0.496991,1.66963,1.59605,1.38407,-0.211984,0.0735805
157,75.677,15.204,6.348,7.99,0.303,6.971,136.9,2.266,15.357,1.99422,40.4684,0.497276,1.78135,1.67717,1.40702,-0.270146,0.104187
112,75.834,11.474,7.409,10.266,0.135,57.511,160.813,4.367,19.758,1.98204,35.1282,0.497629,2.147,1.98064,1.39816,-0.582488,0.166358
334,75.965,11.93,6.855,7.633,0.174,38.128,146.736,2.959,19.46,1.98083,36.3541,0.497558,2.0715,1.93085,1.43346,-0.497391,0.140651
344,75.973,13.568,12.797,8.738,0.284,57.097,40.316,23.354,37.163,1.86425,34.7064,0.497056,1.88891,1.77862,1.58898,-0.189642,0.110288
362,76.201,7.796,5.839,1.422,0.274,41.89,75.445,35.778,4.832,1.90983,32.8523,0.497589,2.67475,2.47386,2.19482,-0.279039,0.200891
30,76.412,14.966,7.571,3.438,0.297,27.54,132.591,30.575,4.487,1.96416,39.4018,0.497178,1.79031,1.68198,1.96651,0.284529,0.108331
249,76.701,19.386,12.919,9.508,0.14,34.473,32.291,34.775,3.816,1.95133,39.126,0.497026,1.56737,1.50848,1.31053,-0.197955,0.0588904
215,76.78,17.491,5.054,4.399,0.287,59.688,69.498,16.198,3.752,2.04135,43.1107,0.497389,1.66778,1.59702,1.49408,-0.102936,0.0707626
421,76.973,9.057,4.573,4.546,0.324,49.804,73.312,6.491,6.342,1.96031,35.6842,0.497513,2.39571,2.21168,2.07607,-0.135601,0.184029
158,77.135,15.075,1.379,6.946,0.271,54.667,128.659,26.21,11.135,2.12149,44.1698,0.497994,1.85631,1.79299,1.67456,-0.118432,0.0633199
85,77.348,18.332,8.663,5.232,0.356,10.006,181.11,15.713,45.366,1.96828,41.5456,0.49692,1.60558,1.5137,4.32904,2.81534,0.0918791
214,77.352,18.304,5.294,6.092,0.279,30.114,181.888,23.678,16.202,2.04624,43.3995,0.497379,1.63456,1.56372,2.12062,0.556903,0.0708458
208,77.461,9.605,14.659,3.294,0.323,57.497,109.03,20.074,38.064,1.75302,29.3652,0.497258,2.347,2.18838,2.15601,-0.0323752,0.158616
467,77.545,15.12,8.185,7.026,0.335,14.113,149.325,7.683,50.534,1.9513,39.0901,0.497063,1.77636,1.66223,2.82277,1.16054,0.114121
88,77.624,15.884,8.97,13.626,0.188,5.132,20.012,28.879,8.359,1.98568,38.4059,0.497288,1.75781,1.64416,1.73531,0.0911458,0.113647
194,77.719,14.028,2.72,12.537,0.112,36.875,113.424,4.435,10.298,2.12828,40.9236,0.498174,1.92844,1.84909,1.31132,-0.537768,0.079359
251,78.024,7.285,14.935,5.671,0.28,41.95,130.745,20.127,36.135,1.72163,25.4456,0.497589,2.92163,2.67834,2.7633,0.0849599,0.243292
159,78.139,19.708,13.358,10.056,0.342,55.629,9.497,16.901,28.177,1.91629,39.7038,0.496664,1.53817,1.4702,1.35272,-0.117486,0.0679633
107,78.271,7.186,12.95,2.146,0.168,16.644,153.001,20.187,30.092,1.76691,26.1913,0.497681,2.96762,2.75915,3.21314,0.453987,0.208471
380,78.476,9.001,3.021,3.545,0.134,14.772,87.476,33.18,8.19,2.06082,35.9721,0.498044,2.4462,2.31344,2.73634,0.422907,0.132763
237,78.509,9.642,12.15,6.779,0.1,46.101,126.203,4.897,20.957,1.8591,29.7362,0.497544,2.41693,2.22094,1.59462,-0.626322,0.195993
412,78.593,9.699,14.664,6.109,0.235,49.041,89.927,6.768,8.789,1.78398,28.9393,0.497351,2.37121,2.20401,1.96087,-0.243133,0.167201
374,78.739,5.662,13.68,3.145,0.319,20.989,95.597,11.421,50.734,1.68009,23.5443,0.497748,3.51817,3.23569,3.47669,0.241005,0.282481
471,78.751,9.788,2.224,2.888,0.256,18.038,85.949,7.446,20.365,2.0573,38.3384,0.497862,2.28522,2.18671,1.72656,-0.460152,0.0985119
283,78.944,19.189,9.515,14.717,0.31,58.545,94,8.914,13.318,1.98198,41.0949,0.496947,1.58005,1.49044,1.31037,-0.180069,0.0896112
1,79.342,5.255,1.205,2.484,0.311,24.116,72.623,8.494,19.378,2.04617,33.8662,0.498013,3.2479,2.98189,2.16986,-0.812026,0.266007
155,79.363,16.048,1.958,10.495,0.209,33.171,100.511,33.305,25.01,2.13132,43.6535,0.49805,1.79817,1.75101,5.25376,3.50275,0.0471598
186,79.531,10.8,12.249,9.767,0.267,42.116,188.488,4.021,41.936,1.85056,31.4924,0.497244,2.20574,2.01766,1.33282,-0.684834,0.188086
23,79.683,13.729,3.198,6.626,0.253,47.674,110.134,36.215,7.106,2.0687,40.9653,0.497708,1.90493,1.82583,2.11817,0.292331,0.0790989
